ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"560Ω"	"R13"	"R0402"	"1"	"0402WGF5600TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25126"	"0.001"
"2"	"100nF"	"C1,C2,C3,C4,C5,C10,C11,C12,C13"	"C0402"	"9"	"CL05B104KO5NNNC"	"SAMSUNG(三星)"	"LCSC"	"C1525"	"0.001"
"3"	"10uF"	"C7,C8"	"C0402"	"2"	"CL05A106MP5NUNC"	"SAMSUNG(三星)"	"LCSC"	"C315248"	"0.009"
"4"	"4.7uF"	"C9"	"C0402"	"1"	"CL05A475KP5NRNC"	"SAMSUNG(三星)"	"LCSC"	"C368809"	"0.006"
"5"	"22uF"	"C6"	"C0805"	"1"	"CL21A226MAYNNNE"	"SAMSUNG(三星)"	"LCSC"	"C602037"	"0.024"
"6"	"LESD5D5.0CT1G"	"D1,D2,D3"	"SOD-523_L1.2-W0.8-LS1.6-BI"	"3"	"LESD5D5.0CT1G"	"LRC(乐山无线电)"	"LCSC"	"C383211"	"0.021"
"7"	"210-1S-1*3Ppin Gold-plated"	"H1"	"HDR-TH_3P-P1.27-V-M-1"	"1"	"B-2101S03P-A110"	"Ckmtw(灿科盟)"	"LCSC"	"C124354"	"0.02"
"8"	"DZ127R-11-02-25"	"H4"	"HDR-TH_2P-P1.27-V-M"	"1"	"DZ127R-11-02-25"	"DEALON(德艺隆)"	"LCSC"	"C2935942"	"0.014"
"9"	"0805G (Green)"	"LED1"	"LED0805-R-RD"	"1"	"KT-0805G"	"KENTO"	"LCSC"	"C2297"	"0.011"
"10"	"FC-2012HRK-620D"	"LED2"	"LED0805-R-RD"	"1"	"NCD0805R1"	"国星光电"	"LCSC"	"C84256"	"0.014"
"11"	"0Ω"	"R1,R2"	"R0402"	"2"	"0402WGF0000TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C17168"	"0.001"
"12"	"10kΩ"	"R3,R4,R5,R6,R14"	"R0402"	"5"	"0402WGF1002TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25744"	"0.001"
"13"	"22.1kΩ"	"R7"	"R0402"	"1"	"0402WGF2212TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C43473"	"0.001"
"14"	"47.5kΩ"	"R8"	"R0402"	"1"	"0402WGF4752TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25896"	"0.001"
"15"	"1kΩ"	"R9,R15"	"R0402"	"2"	"0402WGF1001TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C11702"	"0.001"
"16"	"5.1kΩ"	"R10"	"R0402"	"1"	"0402WGF5101TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25905"	"0.001"
"17"	"22Ω"	"R11,R12"	"R0402"	"2"	"0402WGF220JTCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25092"	"0.001"
"18"	"PTS645SH50SMTR92LFS"	"SW1,SW2"	"KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0"	"2"	"PTS645SH50SMTR92LFS"	"C&K"	"LCSC"	"C221869"	"0.405"
"19"	"ESP32-WROOM-32E(8MB)"	"U1"	"WIFI-SMD_ESP32-WROOM-32E"	"1"	"ESP32-WROOM-32E-N8"	"ESPRESSIF(乐鑫)"	"LCSC"	"C701342"	"4.263"
"20"	"CP2102N-A02-GQFN28R"	"U2"	"QFN-28_L5.0-W5.0-P0.50-TL-EP3.3"	"1"	"CP2102N-A02-GQFN28R"	"SKYWORKS/SILICON LABS(芯科)"	"LCSC"	"C964632"	"1.566"
"21"	"AMS1117-3.3_C347222"	"U3"	"SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR"	"1"	"AMS1117-3.3"	"UMW(友台半导体)"	"LCSC"	"C347222"	"0.04"
"22"	"105017-0001"	"USB1"	"MICRO-USB-SMD_105017-0001"	"1"	"1050170001"	"MOLEX"	"LCSC"	"C136000"	"0.337"
"23"	"SS8050_C2848182"	"Q1,Q5"	"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR"	"2"	"SS8050"	"IDCHIP(英锐芯)"	"LCSC"	"C2848182"	"0.012"
"24"	"X6511WV-17H-C30D60"	"H2,H3"	"HDR-TH_17P-P2.54-V-M"	"2"	"X6511WV-17H-C60D30"	"XKB Connection(中国星坤)"	"LCSC"	"C725949"	"0.259"
"25"	"2N7002T-7-F"	"Q3,Q4"	"SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR"	"2"	"2N7002T-7-F"	"DIODES(美台)"	"LCSC"	"C139445"	"0.046"
